"id","geom","shape_leng","shape_area","adm3_es","adm3_pcode","adm3_ref","adm3alt1es","adm3alt2es","adm2_es","adm2_pcode","adm1_es","adm1_pcode","adm0_es","adm0_pcode","date","validon","validto","point_x","point_y"
22,"0101000020E610000024A7FF77F7A854C0A01864D563C32040","0.336795783518","0.00328008126978","Santo Tomás","PA020107","Santo Tomas",NULL,NULL,"Alanje","PA0201","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6401042935","8.38162104461"
23,"0101000020E6100000FC23B3049DB154C080FCD0D5E5B92040","0.40732649271","0.00573156660085","Baco","PA020201",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.77520864","8.36308162857"
24,"0101000020E6100000DC1300F053B854C0E0C9EFB4DB382040","0.488563850737","0.0046282597442","Limones","PA020202",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.8801231385","8.11105122974"
25,"0101000020E610000030D7FFBFD5B554C080D4805959DE2040","0.516847271109","0.00406602750244","Progreso","PA020203",NULL,NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.8411712645","8.43427543352"
26,"0101000020E6100000D4560FC6B7BA54C0A0A232709E942040","0.799542455219","0.0170202023857","Puerto Armuelles","PA020204","Puerto Armuelles",NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.9174666548","8.29027128809"
27,"0101000020E6100000A85200E036BA54C0E000443D5ECA2040","0.783979922977","0.014920050755","Rodolfo Aguilar Delgado","PA020205","Rodolfo Aguilar Delgado",NULL,NULL,"Barú","PA0202","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.9095993045","8.39525023894"
28,"0101000020E610000098B7ED13F3A254C0C0CE55C77F062140","0.303284921355","0.00357269855282","Bágala","PA020301","Bagala",NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5460862943","8.51269362376"
29,"0101000020E610000058372A0464A554C040CCBED596152140","0.364295970894","0.00329500245441","Boquerón","PA020302","Boqueron",NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5842295086","8.54216640429"
30,"0101000020E610000054EFFF2F3BA754C060A0778A26752140","0.410211807187","0.00388869709672","Cordillera","PA020303",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6129875182","8.72880966864"
31,"0101000020E610000064DF4A5679A354C080FA7BC326382140","0.296178563833","0.00255662431527","Guabal","PA020304",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5542808276","8.60967074288"
32,"0101000020E6100000DC3EF4B4F5A454C0E06177F1C7502140","0.387734430003","0.00451117572862","Guayabal","PA020305",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5774967561","8.65777544577"
33,"0101000020E6100000C4FCFFDF98A554C0A0EE4A823B792140","0.339915019392","0.00286130263783","Paraíso","PA020306","Paraiso",NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5874557495","8.7367821423"
34,"0101000020E610000020193C2141A654C080D0402655FA2040","0.236993497945","0.00154989274913","Pedregal","PA020307",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5977252089","8.48893088857"
35,"0101000020E6100000D825EA7557A454C0406A2E66F8EE2040","0.18022458463","0.0015464355016","Tijeras","PA020308",NULL,NULL,NULL,"Boquerón","PA0203","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5678381716","8.46673888508"
36,"0101000020E61000008813386DC29A54C000AF7DC53E5D2140","0.411603184426","0.0076085565273","Alto Boquete","PA020401","Alto Boquete",NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4181168602","8.68211953315"
37,"0101000020E61000002C2944E1019D54C0C04918D7908F2140","0.238579887081","0.00179307068691","Bajo Boquete","PA020402","Bajo Boquete",NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4532397428","8.78040191814"
38,"0101000020E61000004C24CB8D7E9454C0C0041C64326C2140","0.703065834665","0.0163865510559","Caldera","PA020403",NULL,NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.3202242359","8.71132195322"
39,"0101000020E6100000D4E496519E9754C040FE49371B8E2140","0.398769496786","0.0070869809659","Jaramillo","PA020404",NULL,NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.3690380071","8.77755139139"
40,"0101000020E6100000BCBB2846239E54C0007B29D005AA2140","0.507413842885","0.011204478191","Los Naranjos","PA020405","Los Naranjos",NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4709029577","8.83207560068"
41,"0101000020E6100000F4FBFF17339E54C02003E96FAC812140","0.414021095563","0.00530996221529","Palmira","PA020406",NULL,NULL,NULL,"Boquete","PA0204","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.471868515","8.75326871604"
42,"0101000020E61000003C5CF3B1E4B254C020A78D9DD9FD2040","0.397338722755","0.00784396958754","Aserrío de Gariché","PA020501","Aserrio de Gariche",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.7952084424","8.49580089907"
43,"0101000020E6100000F45EBFE7C8A754C000A8ED323BF92040","0.174255035469","0.00109748174061","Bugaba","PA020502",NULL,NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6216372842","8.48677977706"
44,"0101000020E610000010AD994958A654C0804E5BE368B42140","0.419021745471","0.0100189497245","Cerro Punta","PA020503","Cerro Punta",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5991386414","8.85236273279"
45,"0101000020E610000078690B9292A754C0605C2354F3362140","0.289516063382","0.00313139117063","El Bongo","PA020504","El Bongo",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6183209526","8.60732520038"
46,"0101000020E61000007C6C73B020B054C080E7F5658C1D2140","0.283304635702","0.0034056420082","Gómez","PA020505","Gomez",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.7519951942","8.5577117789"
47,"0101000020E610000068BDFFBF8CA854C080BCFDF14B0A2140","0.574694116012","0.00502914165277","La Concepción","PA020506","La Concepcion",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.633590698","8.52011066649"
48,"0101000020E610000068876535B2AA54C0C023E89CDFFD2040","0.320271447471","0.00400855014399","La Estrella","PA020507","La Estrella",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6671269886","8.49584665617"
49,"0101000020E610000034933479BFAD54C040EBA785D3442140","0.358809535435","0.00491977440086","San Andrés","PA020508","San Andres",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.7148116125","8.6344262855"
50,"0101000020E6100000FC63B07BC4AC54C0C0DB8769CCFE2040","0.344802922245","0.00298897770851","Santa Marta","PA020509","Santa Marta",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6994923804","8.49765329154"
51,"0101000020E61000000CCEFF8F99AB54C06005D2800A352140","0.312789197389","0.00365177682733","Santa Rosa","PA020510","Santa Rosa",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.681247711","8.60359575809"
52,"0101000020E61000007C4F965255AF54C080D5982F58F32040","0.310125364245","0.00514872077199","Santo Domingo","PA020511","Santo Domingo",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.7395826786","8.47528218022"
53,"0101000020E6100000C0AACFE7D2A954C020493876112A2140","0.269674497429","0.00249677947912","Sortová","PA020512","Sortova",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6534976509","8.58216447293"
54,"0101000020E6100000541F123421AB54C0805914F567942140","0.915721155042","0.0172847971616","Volcán","PA020513","Volcan",NULL,NULL,"Bugaba","PA0205","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.6739015748","8.78985563157"
55,"0101000020E610000068D2927DA29454C08076E5282CFF2040","0.439416396491","0.00667458109489","Bijagual","PA020601",NULL,NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.3224176344","8.49838378717"
56,"0101000020E610000048D87615D59254C0A084C8BE43BB2040","1.0580512577","0.0159397628433","Chiriquí","PA020602","Chiriqui",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.2942556058","8.36575123022"
57,"0101000020E610000078150080C79854C0E0C303167E2F2140","0.602602377079","0.00624468334494","Cochea","PA020603",NULL,NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.3871765137","8.5927588348"
58,"0101000020E6100000006A0088769C54C0C05EF214BFCC2040","0.496731430667","0.00537473186131","David","PA020604",NULL,NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4447345737","8.39989533862"
59,"0101000020E6100000ACF0FF272A9E54C0A0991D598A0B2140","0.661008054341","0.00592679271324","Guacá","PA020605","Guaca",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4713230132","8.5225398873"
60,"0101000020E6100000A05E625ED69754C0208C86B982DD2040","0.416943004601","0.00580804548036","Las Lomas","PA020606","Las Lomas",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.3724590264","8.43263797538"
61,"0101000020E61000002010C4FA039A54C000BD5D4FBCA52040","2.3757315951","0.0111971237437","Pedregal","PA020607",NULL,NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4064928927","8.32370231647"
62,"0101000020E6100000405B00E009A154C08034C0DB7A142140","0.550990267783","0.00458633683445","San Carlos","PA020608","San Carlos",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.5162277225","8.53999983522"
63,"0101000020E6100000F4FE9A4D5E9F54C08039CD3FD5C42040","0.538384580662","0.00577173590619","San Pablo Nuevo","PA020609","San Pablo Nuevo",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4901308073","8.38443946247"
64,"0101000020E610000030AAFFDC139F54C0C058D0801CEB2040","0.330422363134","0.00525101229685","San Pablo Viejo","PA020610","San Pablo Viejo",NULL,NULL,"David","PA0206","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4855873582","8.459201837"
65,"0101000020E61000009CD2FFA71F9D54C0004F00A76F292140","0.605021288209","0.00561832146678","Dolega","PA020701",NULL,NULL,NULL,"Dolega","PA0207","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.455057144","8.58092996482"
66,"0101000020E6100000484200A8D69754C0006AFEE073052140","0.298203418604","0.00194732380315","Dos Ríos","PA020702","Dos Rios",NULL,NULL,"Dolega","PA0207","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.372476578","8.51064971071"
67,"0101000020E610000018351719589A54C0A0F2F35BFE0D2140","0.181155430126","0.00128336781967","Los Anastacios","PA020703","Los Anastacios",NULL,NULL,"Dolega","PA0207","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4116270758","8.52733123162"
68,"0101000020E6100000107A367EE69D54C0409DE6CCB5462140","0.282275061773","0.00315249342877","Potrerillos Abajo","PA020704","Potrerillos Abajo",NULL,NULL,"Dolega","PA0207","Chiriquí","PA02","Panamá","PA","2020-06-15","2021-10-20",NULL,"-82.4671931774","8.63810577693"
